"","lane","study","species","gene"
"2297","28099_1_7","DASSIM","e_coli","CatB4"
"2316","28099_1_10","DASSIM","e_coli","CatB4"
"2334","28099_1_11","DASSIM","e_coli","CatA1"
"2335","28099_1_11","DASSIM","e_coli","CmlA1"
"2367","28099_1_18","DASSIM","e_coli","CatA1"
"2424","28099_1_26","DASSIM","e_coli","CatB4"
"2461","28099_1_30","DASSIM","e_coli","CatB4"
"2522","28099_1_38","DASSIM","e_coli","CmlA1"
"2532","28099_1_39","DASSIM","e_coli","CatA1"
"2553","28099_1_41","DASSIM","e_coli","CatA1"
"2574","28099_1_42","DASSIM","e_coli","CatB4"
"2617","28099_1_47","DASSIM","e_coli","CatA1"
"2636","28099_1_49","DASSIM","e_coli","CatB4"
"2667","28099_1_51","DASSIM","e_coli","CatB4"
"2697","28099_1_54","DASSIM","e_coli","CatB3"
"2713","28099_1_55","DASSIM","e_coli","CmlA1"
"2740","28099_1_58","DASSIM","e_coli","CatA1"
"2758","28099_1_59","DASSIM","e_coli","CatA1"
"2759","28099_1_59","DASSIM","e_coli","CatB4"
"2829","28099_1_66","DASSIM","e_coli","CatB4"
"2877","28099_1_71","DASSIM","e_coli","CatB3"
"2923","28099_1_75","DASSIM","e_coli","CatB4"
"2938","28099_1_77","DASSIM","e_coli","CatA1"
"2956","28099_1_78","DASSIM","e_coli","CatB4"
"2974","28099_1_79","DASSIM","e_coli","CatB4"
"3028","28099_1_85","DASSIM","e_coli","CatB4"
"3044","28099_1_86","DASSIM","e_coli","FloR"
"3067","28099_1_89","DASSIM","e_coli","CatB4"
"3123","28099_1_94","DASSIM","e_coli","CatA1"
"3141","28099_1_95","DASSIM","e_coli","CatB4"
"3157","28099_1_98","DASSIM","e_coli","CmlA1"
"3230","28099_1_106","DASSIM","e_coli","CatA1"
"3286","28099_1_112","DASSIM","e_coli","CatB4"
"3304","28099_1_114","DASSIM","e_coli","CatB4"
"3336","28099_1_116","DASSIM","e_coli","CatB4"
"3338","28099_1_116","DASSIM","e_coli","FloR"
"3357","28099_1_118","DASSIM","e_coli","CatB4"
"3400","28099_1_123","DASSIM","e_coli","CatB4"
"3402","28099_1_123","DASSIM","e_coli","FloR"
"3419","28099_1_125","DASSIM","e_coli","CatA1"
"3420","28099_1_125","DASSIM","e_coli","CatB4"
"3438","28099_1_127","DASSIM","e_coli","CatB4"
"3466","28099_1_129","DASSIM","e_coli","CatB4"
"3499","28099_1_132","DASSIM","e_coli","CatA2"
"3581","28099_1_141","DASSIM","e_coli","CatB4"
"3599","28099_1_143","DASSIM","e_coli","CatA1"
"3648","28099_1_148","DASSIM","e_coli","CatB4"
"3665","28099_1_149","DASSIM","e_coli","CatB4"
"3682","28099_1_151","DASSIM","e_coli","CatB4"
"3697","28099_1_152","DASSIM","e_coli","CatB4"
"3714","28099_1_153","DASSIM","e_coli","CatB4"
"3732","28099_1_155","DASSIM","e_coli","CatB4"
"3751","28099_1_156","DASSIM","e_coli","CatB4"
"3778","28099_1_159","DASSIM","e_coli","CatA1"
"3794","28099_1_160","DASSIM","e_coli","CatB4"
"3796","28099_1_160","DASSIM","e_coli","FloR"
"3826","28099_1_163","DASSIM","e_coli","CatB4"
"3844","28099_1_165","DASSIM","e_coli","CatA1"
"3845","28099_1_165","DASSIM","e_coli","CatB4"
"3877","28099_1_168","DASSIM","e_coli","CatB4"
"3895","28099_1_169","DASSIM","e_coli","CatB4"
"3911","28099_1_171","DASSIM","e_coli","CatA1"
"3912","28099_1_171","DASSIM","e_coli","CatB4"
"3930","28099_1_172","DASSIM","e_coli","CatB4"
"3959","28099_1_175","DASSIM","e_coli","CatB4"
"3990","28099_1_177","DASSIM","e_coli","CatB4"
"4018","28099_1_180","DASSIM","e_coli","CmlA1"
"4041","28099_1_181","DASSIM","e_coli","CatB4"
"4057","28099_1_185","DASSIM","e_coli","CatB4"
"4075","28099_1_187","DASSIM","e_coli","CatB4"
"4092","28099_1_188","DASSIM","e_coli","CatB4"
"4109","28099_1_189","DASSIM","e_coli","CatA1"
"4110","28099_1_189","DASSIM","e_coli","CatB4"
"4133","28099_1_192","DASSIM","e_coli","CmlA1"
"4169","28099_1_196","DASSIM","e_coli","CatB4"
"4188","28099_1_199","DASSIM","e_coli","CmlA1"
"4211","28099_1_203","DASSIM","e_coli","CatA1"
"4228","28099_1_204","DASSIM","e_coli","CatB3"
"4275","28099_1_208","DASSIM","e_coli","CatB4"
"4293","28099_1_209","DASSIM","e_coli","CatA1"
