"","lane","study","species","gene"
"10369","34154_7_227","DASSIM","KpSC","CatB4"
"10410","34154_7_232","DASSIM","KpSC","CatA1"
"10422","34154_7_234","DASSIM","KpSC","CatB4"
"10439","34154_7_235","DASSIM","KpSC","CatA2"
"10440","34154_7_235","DASSIM","KpSC","CmlA5"
"10460","34154_7_239","DASSIM","KpSC","CatA1"
"10461","34154_7_239","DASSIM","KpSC","CatB4"
"10479","34154_7_24","DASSIM","KpSC","CatA2"
"10493","34154_7_240","DASSIM","KpSC","CatA2"
"10494","34154_7_240","DASSIM","KpSC","CmlA5"
"10512","34154_7_242","DASSIM","KpSC","CatA1"
"10513","34154_7_242","DASSIM","KpSC","CatB4"
"10541","34154_7_248","DASSIM","KpSC","CatA2"
"10582","34154_7_252","DASSIM","KpSC","CatB4"
"10599","34154_7_254","DASSIM","KpSC","CatB4"
"10612","34154_7_255","DASSIM","KpSC","CatB4"
"10626","34154_7_259","DASSIM","KpSC","CatA1"
"10627","34154_7_259","DASSIM","KpSC","CatB4"
"10628","34154_7_259","DASSIM","KpSC","CmlA5"
"10643","34154_7_26","DASSIM","KpSC","CatB4"
"10674","34154_7_262","DASSIM","KpSC","CatB4"
"10692","34154_7_263","DASSIM","KpSC","CatB4"
"10721","34154_7_268","DASSIM","KpSC","CatB4"
"10738","34154_7_269","DASSIM","KpSC","CatA2"
"10754","34154_7_27","DASSIM","KpSC","CatA2"
"10768","34154_7_271","DASSIM","KpSC","CatB4"
"10783","34154_7_274","DASSIM","KpSC","CatA1"
"10800","34154_7_276","DASSIM","KpSC","CatB4"
"10829","34154_7_279","DASSIM","KpSC","CatB4"
"10844","34154_7_281","DASSIM","KpSC","CatA1"
"10861","34154_7_283","DASSIM","KpSC","CatB4"
"10886","34154_7_289","DASSIM","KpSC","CatB4"
"10900","34154_7_291","DASSIM","KpSC","CatA2"
"10911","34154_7_294","DASSIM","KpSC","CatB4"
"10926","34154_7_296","DASSIM","KpSC","CatB4"
"10953","34154_7_299","DASSIM","KpSC","CatB4"
"10969","34154_7_3","DASSIM","KpSC","CatA2"
"10970","34154_7_3","DASSIM","KpSC","CatB4"
"10987","34154_7_30","DASSIM","KpSC","CatA2"
"10998","34154_7_303","DASSIM","KpSC","CatB4"
"11012","34154_7_304","DASSIM","KpSC","CatB4"
"11037","34154_7_307","DASSIM","KpSC","CatB4"
"11084","34154_7_313","DASSIM","KpSC","CatA2"
"11085","34154_7_313","DASSIM","KpSC","CatB4"
"11086","34154_7_313","DASSIM","KpSC","CmlA5"
"11109","34154_7_316","DASSIM","KpSC","CatA2"
"11138","34154_7_318","DASSIM","KpSC","CatA1"
"11139","34154_7_318","DASSIM","KpSC","CatB4"
"11158","34154_7_32","DASSIM","KpSC","CatB4"
"11170","34154_7_322","DASSIM","KpSC","CatA1"
"11195","34154_7_324","DASSIM","KpSC","CatA2"
"11211","34154_7_325","DASSIM","KpSC","CatA2"
"11225","34154_7_33","DASSIM","KpSC","CatB4"
"11239","34154_7_330","DASSIM","KpSC","CatA2"
"11264","34154_7_332","DASSIM","KpSC","CatB4"
"11280","34154_7_333","DASSIM","KpSC","CatB4"
"11300","34154_7_338","DASSIM","KpSC","CatA2"
"11301","34154_7_338","DASSIM","KpSC","CmlA5"
"11328","34154_7_340","DASSIM","KpSC","CatA2"
"11353","34154_7_344","DASSIM","KpSC","CatB4"
"11386","34154_7_351","DASSIM","KpSC","CatB4"
"11420","34154_7_359","DASSIM","KpSC","CatA2"
"11433","34154_7_36","DASSIM","KpSC","CatB4"
"11448","34154_7_360","DASSIM","KpSC","CatB4"
"11475","34154_7_366","DASSIM","KpSC","CatA1"
"11502","34154_7_368","DASSIM","KpSC","CatA2"
"11519","34154_7_369","DASSIM","KpSC","CatA2"
"11534","34154_7_374","DASSIM","KpSC","CatB4"
"11556","34154_7_376","DASSIM","KpSC","CatA2"
"11566","34154_7_378","DASSIM","KpSC","CatB4"
"11601","34154_7_380","DASSIM","KpSC","CatB4"
"11614","34154_7_39","DASSIM","KpSC","CatB4"
"11628","34154_7_4","DASSIM","KpSC","CatA2"
"11639","34154_7_40","DASSIM","KpSC","CatB4"
"11666","34154_7_42","DASSIM","KpSC","CatA2"
"11694","34154_7_46","DASSIM","KpSC","CatB4"
"11711","34154_7_47","DASSIM","KpSC","CatA2"
"11739","34154_7_49","DASSIM","KpSC","CatA2"
"11753","34154_7_5","DASSIM","KpSC","CatB4"
"11766","34154_7_50","DASSIM","KpSC","CatA2"
"11778","34154_7_52","DASSIM","KpSC","CatA1"
"11837","34154_7_58","DASSIM","KpSC","CatB4"
"11853","34154_7_59","DASSIM","KpSC","CatA2"
"11891","34154_7_62","DASSIM","KpSC","CatB4"
"11929","34154_7_69","DASSIM","KpSC","CatB4"
"11957","34154_7_74","DASSIM","KpSC","CmlA5"
"11987","34154_7_76","DASSIM","KpSC","CatB4"
"12001","34154_7_77","DASSIM","KpSC","CatA2"
"12023","34154_7_8","DASSIM","KpSC","CatA2"
"12024","34154_7_8","DASSIM","KpSC","CatB4"
"12043","34154_7_80","DASSIM","KpSC","CatA2"
"12058","34154_7_83","DASSIM","KpSC","CatA2"
"12070","34154_7_84","DASSIM","KpSC","CatA2"
"12071","34154_7_84","DASSIM","KpSC","CmlA5"
"12085","34154_7_86","DASSIM","KpSC","CatA2"
"12099","34154_7_87","DASSIM","KpSC","CatB4"
"12131","34154_7_90","DASSIM","KpSC","CatA2"
"12154","34154_7_94","DASSIM","KpSC","CatB4"
"12189","34154_7_97","DASSIM","KpSC","CatB4"
